1	2	3	4	5
4	6	8	10	14
4	6	7	12	13
4	7	8	10	14
4	5	8	10	14
3	8	7	11	14
4	6	8	11	14
3	6	7	10	13
3	6	8	11	12
3	6	8	9	13
3	5	9	10	13
4	5	8	10	14
3	6	8	11	14
3	6	8	11	14
4	6	7	10	13
4	6	8	11	14
4	6	8	10	16
4	6	7	11	13
4	6	8	10	13
3	6	7	10	14
4	6	9	11	14
3	7	8	10	13
4	7	8	10	12
4	7	7	10	12
4	6	7	10	15
3	5	8	11	13
3	5	8	11	16
4	6	7	10	13
3	6	8	11	15
4	8	8	9	16
4	7	8	9	15
3	9	8	11	13
3	6	7	10	15
3	7	8	14	14
3	6	7	11	12
4	6	8	10	13
3	6	7	10	14
3	6	8	10	14
3	6	7	11	13
3	6	8	12	12
4	7	8	11	17
4	6	8	10	14
3	6	8	11	12
3	7	8	10	13
3	6	8	10	14
4	6	8	10	14
3	6	7	11	14
3	6	7	10	14
3	8	8	10	12
4	6	9	10	14
3	6	8	10	13
4	6	8	12	13
4	6	8	10	12
4	6	8	9	14
4	7	8	11	14
3	7	8	11	13
3	6	7	11	13
4	6	7	9	13
3	6	7	10	17
4	6	8	9	13
4	5	9	10	12
3	7	7	11	12
4	6	7	9	14
3	6	8	10	15
3	7	11	10	14
4	6	8	10	14
3	6	8	10	14
4	6	8	10	14
4	6	8	11	14
4	6	8	10	15
3	6	8	12	13
4	6	8	10	13
3	6	8	9	14
4	6	8	9	14
4	6	8	10	17
3	6	8	10	15
4	6	7	10	13
4	6	7	10	13
3	6	7	11	13
12	6	8	11	13
3	6	8	10	14
3	6	8	13	13
3	6	7	10	13
3	6	8	11	14
3	6	8	11	13
3	7	8	10	12
3	7	8	11	11
3	6	8	10	13
4	6	8	10	12
3	6	8	9	12
4	7	8	11	13
3	6	8	9	15
3	6	7	11	13
3	7	8	10	16
3	6	8	10	13
4	6	8	9	22
3	6	8	10	13
3	6	8	11	13
3	7	7	10	13
3	6	8	11	13
3	6	8	11	14

