1	2	3	4	5
4	11	15	16	19
4	11	15	16	19
3	13	16	17	19
3	11	16	16	19
3	11	14	15	20
4	10	15	16	19
3	10	19	21	19
3	11	15	17	19
3	11	15	17	19
3	11	17	18	19
3	10	16	16	19
4	12	15	16	19
4	10	16	17	18
3	10	15	19	18
4	10	17	22	19
3	10	15	17	19
3	10	15	16	19
3	10	15	17	19
3	9	15	16	19
3	11	15	17	19
3	11	16	18	18
3	10	14	16	19
4	10	16	20	18
3	11	14	16	18
3	10	14	18	19
8	11	14	17	19
4	10	16	17	19
3	10	14	16	19
3	11	16	16	19
3	11	19	16	19
3	10	15	18	19
3	11	15	17	18
3	14	18	16	19
4	10	14	17	20
3	11	15	16	19
4	10	15	17	20
3	10	15	16	21
4	10	14	16	19
3	11	17	16	19
3	10	14	17	18
4	11	16	16	19
3	10	15	16	19
3	10	18	16	18
4	12	16	17	20
4	10	17	17	19
4	10	16	17	19
4	11	16	17	19
3	11	15	17	19
3	10	15	16	19
4	10	15	17	19
4	11	15	17	19
4	10	16	17	19
3	13	15	16	19
4	11	15	17	20
3	11	15	16	20
3	11	19	16	20
3	10	15	17	19
3	14	14	16	19
3	11	16	16	19
4	10	16	18	19
3	11	14	17	19
3	11	15	17	19
3	13	15	16	18
3	10	16	16	20
3	12	14	17	19
3	10	16	17	20
3	12	16	18	18
4	13	15	17	19
3	11	15	16	19
3	13	18	20	20
3	12	15	16	19
3	12	16	16	24
4	11	14	17	20
3	11	14	17	19
4	10	14	16	19
4	11	15	17	19
4	11	14	16	19
4	12	15	15	19
3	10	15	16	18
3	11	15	17	19
4	10	18	17	19
3	12	15	16	19
4	11	14	16	19
4	11	14	16	19
3	11	14	20	20
4	10	15	16	18
3	12	14	17	18
3	10	14	16	19
4	10	15	16	21
3	13	16	20	19
3	11	15	16	19
3	11	15	17	20
4	11	15	16	20
4	10	15	17	18
4	11	17	16	23
4	12	15	17	20
4	11	16	16	19
3	10	16	16	19
3	11	15	16	19
4	11	14	16	19

