1	2	3	4	5
2	3	3	5	5
2	3	3	5	6
1	3	4	5	6
2	3	3	5	6
1	3	3	4	6
2	3	3	4	6
1	2	4	5	5
2	20	4	4	6
2	2	4	5	5
4	3	4	5	5
2	3	4	5	5
2	3	4	5	5
1	5	3	4	6
1	3	4	4	5
1	3	4	5	5
2	3	4	4	5
1	2	4	5	5
1	2	3	4	6
1	3	3	5	5
1	3	4	5	5
1	3	4	5	6
2	2	4	4	5
1	3	4	5	5
1	3	3	4	5
2	3	4	4	5
1	3	4	4	6
2	2	4	5	6
1	3	4	5	6
1	3	4	5	5
1	2	4	4	6
2	2	4	5	6
1	2	3	5	5
1	2	4	5	5
1	3	4	5	6
1	3	3	4	5
1	3	3	5	5
1	2	3	4	6
1	3	4	5	6
1	2	3	4	5
1	3	3	5	5
2	3	3	4	6
2	3	3	5	6
2	2	3	5	6
1	3	4	5	5
1	2	4	4	6
1	3	3	4	6
1	3	4	4	6
1	3	4	4	6
2	3	3	5	6
1	2	3	4	6
2	3	4	5	6
1	2	3	5	6
1	3	3	4	5
2	3	4	4	5
1	3	4	4	5
2	3	4	4	6
2	2	4	5	5
1	3	3	5	5
2	3	4	5	6
1	2	4	5	5
1	3	4	4	5
1	3	3	5	6
1	2	4	5	5
2	3	3	5	6
1	3	3	5	6
1	3	3	5	6
2	3	4	5	5
1	3	4	5	5
2	2	3	4	6
1	3	4	4	5
2	2	3	5	6
1	3	3	5	6
1	3	3	5	6
2	3	4	4	5
2	3	4	4	6
1	3	4	4	6
2	3	4	4	6
2	3	4	5	5
1	2	3	4	5
1	2	4	4	6
2	3	4	4	6
1	3	3	5	5
2	5	4	4	5
2	2	3	5	6
1	2	3	5	5
2	3	4	4	6
1	3	4	4	6
2	2	4	4	5
1	2	3	4	6
2	3	4	5	5
1	2	4	4	6
2	3	4	5	6
2	3	3	5	6
1	3	4	4	6
1	3	3	4	5
2	2	4	4	6
1	3	4	5	5
1	3	3	5	6

