1	2	3	4	5
2	5	4	5	6
2	3	4	5	6
1	3	3	6	6
1	3	3	4	6
2	3	3	4	7
2	3	4	6	6
2	3	3	5	6
1	2	3	4	6
1	2	4	5	6
2	5	4	6	6
2	3	4	5	6
2	3	3	5	7
2	5	4	5	6
1	3	4	5	7
1	2	3	5	6
1	3	3	5	6
2	3	4	5	6
1	3	4	5	7
1	3	4	5	7
1	2	4	5	6
2	3	4	4	6
2	2	4	4	6
2	3	4	4	7
2	3	4	5	7
1	3	3	5	8
1	3	3	4	6
1	7	4	5	6
2	2	3	5	7
2	3	4	5	7
1	3	3	4	7
1	6	3	6	7
1	3	4	5	7
2	3	4	4	6
2	5	3	5	7
1	3	3	4	7
1	6	3	6	6
1	3	3	5	6
2	5	3	5	7
1	3	3	4	12
1	3	4	4	6
2	3	3	4	6
2	5	3	5	6
2	4	4	5	6
1	3	4	5	7
2	3	3	5	6
1	3	4	4	6
2	6	3	5	6
2	3	3	5	7
2	2	4	5	7
2	3	3	5	6
2	3	4	5	6
1	3	3	5	6
2	3	4	4	7
1	2	4	5	7
2	3	4	5	7
2	5	3	5	6
1	5	3	5	5
1	3	4	10	7
1	3	3	5	7
1	3	4	5	6
2	3	4	6	7
1	3	4	5	7
2	5	4	4	7
6	3	4	5	6
1	2	4	5	6
1	2	4	5	7
1	3	3	4	13
2	3	3	5	6
1	3	4	4	6
1	3	4	5	7
1	2	4	4	7
2	2	4	5	7
2	2	4	5	6
1	3	4	5	6
2	3	5	4	8
1	5	4	4	6
2	3	3	5	7
1	3	4	5	6
2	3	4	4	7
1	3	4	5	7
2	3	3	5	7
1	5	4	4	6
2	3	4	4	7
2	2	4	5	7
2	3	4	4	6
1	3	3	4	7
1	3	4	5	7
2	3	3	4	5
2	2	4	4	6
2	3	3	5	7
1	2	4	5	7
2	3	4	5	5
1	3	4	5	7
2	3	3	5	6
2	3	4	6	6
2	3	4	6	6
3	3	3	5	8
2	5	4	5	7
2	3	4	5	7
1	4	4	5	7

